point,temps_s,stable,montee_charge,critique,batterie_faible,nominal
962,1924,4,16,6,8,11
963,1926,5,17,8,10,12
964,1928,4,23,7,9,11
965,1930,4,21,7,8,9
966,1932,4,19,7,8,8
967,1934,5,17,6,7,20
968,1936,5,16,6,7,17
969,1938,4,15,7,7,15
970,1940,4,15,6,7,14
971,1942,4,14,7,5,12
972,1944,7,16,9,8,14
973,1946,9,15,9,6,12
974,1948,8,15,9,6,11
975,1950,7,14,7,6,9
976,1952,6,13,8,5,8
977,1954,6,13,6,5,8
978,1956,5,14,17,16,8
979,1958,5,14,14,13,7
980,1960,4,13,13,12,7
981,1962,5,15,14,14,9
982,1964,4,14,12,12,8
983,1966,5,14,11,10,8
984,1968,4,13,10,9,6
985,1970,6,15,8,8,5
986,1972,5,14,7,7,5
987,1974,5,14,7,7,4
988,1976,5,13,6,7,8
989,1978,5,13,6,8,7
990,1980,6,14,8,11,10
991,1982,5,13,8,10,16
992,1984,5,13,7,10,14
993,1986,5,12,7,9,12
994,1988,4,14,7,8,11
995,1990,3,14,7,13,10
996,1992,4,14,7,12,9
997,1994,3,13,6,10,8
998,1996,3,13,6,9,7
999,1998,5,14,9,11,9
1000,2000,4,14,9,18,9
1001,2002,4,14,8,14,8
1002,2004,4,14,7,12,7
1003,2006,3,13,9,12,6
1004,2008,4,13,9,10,7
1005,2010,4,13,11,9,7
1006,2012,4,13,11,9,6
1007,2014,7,13,23,7,6
1008,2016,8,15,22,9,7
1009,2018,6,14,18,10,7
1010,2020,6,13,15,15,7
1011,2022,5,13,13,13,6
1012,2024,5,13,12,11,6
1013,2026,6,13,10,18,5
1014,2028,6,13,10,15,4
1015,2030,5,13,9,13,4
1016,2032,5,21,9,11,4
1017,2034,5,22,11,14,8
1018,2036,4,20,10,12,8
1019,2038,4,19,8,11,6
1020,2040,6,18,7,11,5
1021,2042,6,17,6,9,6
1022,2044,5,16,7,8,5
1023,2046,5,16,6,8,6
1024,2048,4,15,6,7,5
1025,2050,4,15,6,6,5
1026,2052,5,16,8,8,8
1027,2054,5,16,8,8,7
1028,2056,4,15,8,6,6
1029,2058,4,15,7,6,5
1030,2060,4,14,14,5,5
1031,2062,4,14,13,5,4
1032,2064,4,14,11,5,5
1033,2066,6,14,19,5,4
1034,2068,6,14,17,4,4
1035,2070,6,16,17,8,8
1036,2072,5,17,15,7,7
1037,2074,5,17,12,6,19
1038,2076,4,16,11,5,17
1039,2078,4,15,10,4,14
1040,2080,4,15,8,5,24
1041,2082,3,15,7,5,20
1042,2084,4,15,7,4,17
1043,2086,4,15,6,5,15
1044,2088,4,16,8,8,18
1045,2090,4,16,7,7,16
1046,2092,3,16,6,7,13
1047,2094,4,16,6,7,12
1048,2096,4,15,6,7,9
1049,2098,4,15,6,6,9
1050,2100,4,17,6,6,8
1051,2102,6,16,6,6,8
1052,2104,5,16,6,6,7
1053,2106,6,17,8,9,9
1054,2108,5,16,9,21,8
1055,2110,4,16,8,20,11
1056,2112,4,16,7,18,10
1057,2114,4,15,6,20,8
1058,2116,4,15,6,18,8
1059,2118,4,15,6,16,6
1060,2120,4,15,15,17,5
1061,2122,3,14,13,15,4
1062,2124,4,16,14,15,7
1063,2126,4,16,13,14,7
1064,2128,4,15,11,12,6
1065,2130,4,15,10,11,6
1066,2132,4,15,9,9,6
1067,2134,4,15,8,9,6
1068,2136,4,15,8,8,6
1069,2138,4,15,7,7,7
1070,2140,3,15,16,7,5
1071,2142,5,16,17,10,8
1072,2144,4,16,15,8,10
1073,2146,4,16,13,8,9
1074,2148,4,15,12,8,9
1075,2150,5,14,10,7,17
1076,2152,5,14,15,7,14
1077,2154,5,14,13,8,15
1078,2156,4,14,12,7,13
1079,2158,4,13,10,7,11
1080,2160,5,15,14,9,12
1081,2162,4,15,13,8,11
1082,2164,4,15,12,7,10
1083,2166,4,15,13,5,8
1084,2168,4,14,11,18,7
1085,2170,4,15,12,17,6
1086,2172,6,15,9,18,6
1087,2174,6,22,9,15,7
1088,2176,5,20,9,13,8
1089,2178,6,21,12,14,10
1090,2180,5,20,11,12,10
1091,2182,5,19,10,11,9
1092,2184,5,18,15,9,9
1093,2186,5,17,13,8,7
1094,2188,4,16,12,18,7
1095,2190,4,17,11,15,7
1096,2192,4,16,10,14,6
1097,2194,3,16,9,12,6
1098,2196,4,17,12,13,9
1099,2198,4,20,10,12,7
1100,2200,3,19,9,10,7
1101,2202,3,17,9,9,6
1102,2204,3,16,22,9,6
1103,2206,3,16,19,8,7
1104,2208,3,15,16,7,6
1105,2210,3,15,13,6,6
1106,2212,4,15,11,17,5
1107,2214,5,17,13,18,7
1108,2216,4,16,12,14,6
1109,2218,4,16,10,12,6
1110,2220,5,15,9,10,4
1111,2222,5,16,8,9,5
1112,2224,4,15,8,8,5
1113,2226,4,15,7,8,4
1114,2228,7,15,7,6,4
1115,2230,6,15,7,5,4
1116,2232,7,16,11,8,7
1117,2234,6,16,10,8,6
1118,2236,5,16,9,7,6
1119,2238,5,15,8,7,7
1120,2240,4,15,7,6,6
1121,2242,4,15,7,5,5
1122,2244,9,17,8,5,5
1123,2246,8,17,7,5,5
1124,2248,7,16,7,8,5
1125,2250,7,17,9,9,8
1126,2252,11,16,16,8,7
1127,2254,12,16,14,8,7
1128,2256,10,16,13,7,6
1129,2258,10,16,13,7,9
1130,2260,9,15,10,7,9
1131,2262,8,15,17,6,7
1132,2264,7,15,13,7,8
1133,2266,6,15,11,7,9
1134,2268,7,16,13,9,11
1135,2270,6,15,11,8,10
1136,2272,6,15,10,7,10
1137,2274,5,15,9,6,9
1138,2276,5,14,8,7,8
1139,2278,4,14,9,7,7
1140,2280,4,14,8,6,6
1141,2282,4,14,7,7,6
1142,2284,4,14,6,7,5
1143,2286,5,16,9,9,8
1144,2288,4,16,9,9,7
1145,2290,4,15,8,8,7
1146,2292,4,14,8,7,7
1147,2294,3,14,8,7,7
1148,2296,4,15,7,6,20
1149,2298,4,15,6,7,17
1150,2300,3,23,18,6,27
1151,2302,3,21,16,7,23
1152,2304,4,21,17,9,23
1153,2306,4,20,16,7,33
1154,2308,4,21,14,6,28
1155,2310,4,20,13,7,23
1156,2312,4,18,11,7,19
1157,2314,3,17,9,5,18
1158,2316,3,16,15,5,15
1159,2318,4,16,13,5,13
1160,2320,3,15,25,6,11
1161,2322,4,17,23,8,13
1162,2324,4,16,20,8,11
1163,2326,4,16,16,7,21
1164,2328,4,16,14,20,17
1165,2330,5,16,12,16,16
1166,2332,5,15,10,17,13
1167,2334,9,15,8,15,12
1168,2336,7,20,8,13,10
1169,2338,7,19,8,10,9
1170,2340,8,19,10,13,11
1171,2342,7,19,10,11,10
1172,2344,7,18,9,10,9
1173,2346,6,18,8,10,9
1174,2348,5,17,7,9,9
1175,2350,5,17,6,8,9
1176,2352,5,17,5,8,8
1177,2354,4,17,4,7,8
1178,2356,4,16,5,6,6
1179,2358,5,17,7,8,9
1180,2360,5,17,7,8,9
1181,2362,4,17,7,7,9
1182,2364,4,16,6,7,7
1183,2366,4,16,5,4,7
1184,2368,4,16,4,5,7
1185,2370,3,16,5,4,6
1186,2372,3,15,5,4,7
1187,2374,3,15,3,5,7
1188,2376,4,16,6,7,9
1189,2378,3,16,6,6,9
1190,2380,3,16,6,6,9
1191,2382,3,17,5,6,15
1192,2384,4,25,10,7,13
1193,2386,4,26,9,7,11
1194,2388,4,24,9,6,9
1195,2390,4,22,9,6,13
1196,2392,3,21,8,5,11
1197,2394,5,22,10,16,13
1198,2396,5,21,10,15,11
1199,2398,5,20,9,13,10
1200,2400,4,21,8,12,9
1201,2402,4,20,8,10,8
1202,2404,4,27,6,9,7
1203,2406,3,25,9,9,7
1204,2408,3,23,7,8,5
1205,2410,3,22,7,8,5
1206,2412,4,22,9,9,7
1207,2414,4,28,9,21,7
1208,2416,4,26,7,19,6
1209,2418,3,24,6,16,6
1210,2420,3,23,4,14,6
1211,2422,3,22,4,12,6
1212,2424,4,20,16,10,6
1213,2426,4,19,14,9,6
1214,2428,3,19,12,8,6
1215,2430,4,19,14,10,8
1216,2432,4,18,13,9,6
1217,2434,3,17,11,8,6
1218,2436,3,17,10,8,6
1219,2438,3,17,13,8,7
1220,2440,3,17,12,6,8
1221,2442,3,16,10,7,8
1222,2444,6,16,9,8,6
1223,2446,5,16,13,7,6
1224,2448,10,17,15,23,8
1225,2450,9,17,13,20,8
1226,2452,8,17,12,16,8
1227,2454,7,16,19,14,12
1228,2456,6,16,17,13,11
1229,2458,6,16,15,12,10
1230,2460,5,16,13,10,10
1231,2462,5,16,11,8,9
1232,2464,5,15,10,8,9
1233,2466,6,17,12,9,10
1234,2468,4,16,16,8,9
1235,2470,4,16,14,6,8
1236,2472,8,16,12,7,6
1237,2474,7,16,11,7,5
1238,2476,6,16,10,6,3
1239,2478,6,16,8,5,3
1240,2480,5,16,7,18,4
1241,2482,4,16,5,27,4
1242,2484,5,17,8,25,7
1243,2486,4,17,7,21,7
1244,2488,4,17,6,18,7
1245,2490,4,17,5,15,7
1246,2492,4,17,6,13,6
1247,2494,3,16,18,12,6
1248,2496,3,16,15,11,6
1249,2498,3,16,13,9,5
1250,2500,3,19,11,8,5
1251,2502,4,21,13,10,7
1252,2504,4,20,11,9,8
1253,2506,3,19,10,9,7
1254,2508,3,18,8,7,7
1255,2510,3,18,7,8,18
1256,2512,3,17,6,13,15
1257,2514,3,17,6,11,13
1258,2516,3,16,6,10,12
1259,2518,3,15,6,10,10
1260,2520,4,17,8,13,12
1261,2522,3,17,7,12,11
1262,2524,3,17,7,14,11
1263,2526,3,16,7,12,9
1264,2528,3,16,7,10,9
1265,2530,3,15,6,9,8
1266,2532,4,16,5,9,7
1267,2534,3,16,5,9,5
1268,2536,4,16,5,21,6
1269,2538,5,19,9,21,8
1270,2540,5,23,8,17,18
1271,2542,4,22,11,15,16
1272,2544,4,21,9,14,14
1273,2546,4,20,8,13,12
1274,2548,3,20,7,11,11
1275,2550,3,19,7,10,11
1276,2552,3,18,6,10,10
1277,2554,3,17,11,10,9
1278,2556,4,18,13,11,11
1279,2558,4,18,13,9,9
1280,2560,4,18,11,8,7
1281,2562,5,17,10,8,7
1282,2564,4,20,9,7,6
1283,2566,4,20,8,7,5
1284,2568,4,20,7,6,6
1285,2570,3,19,14,5,15
1286,2572,3,21,11,6,13
1287,2574,4,22,13,9,14
1288,2576,4,21,11,8,12
1289,2578,4,20,10,7,11
1290,2580,4,19,9,7,10
1291,2582,4,18,8,7,9
1292,2584,3,19,8,6,8
1293,2586,3,18,7,6,6
1294,2588,3,18,6,4,6
1295,2590,3,17,5,5,7
1296,2592,4,18,7,7,11
1297,2594,4,18,6,7,10
1298,2596,3,17,5,7,9
1299,2598,3,24,5,6,8
1300,2600,3,22,5,7,13
1301,2602,3,21,5,6,11
1302,2604,3,19,5,4,10
1303,2606,3,19,6,4,9
1304,2608,3,19,6,4,8
1305,2610,4,20,10,6,10
1306,2612,3,19,8,6,10
1307,2614,3,18,8,4,10
1308,2616,3,18,7,4,9
1309,2618,3,25,6,3,8
1310,2620,3,25,6,10,6
1311,2622,4,23,5,9,6
1312,2624,4,22,5,8,6
1313,2626,3,21,5,8,5
1314,2628,4,22,7,10,9
1315,2630,4,20,7,9,9
1316,2632,4,19,6,8,7
1317,2634,3,19,10,7,7
1318,2636,4,19,9,8,7
1319,2638,3,19,8,7,6
1320,2640,5,18,11,6,6
1321,2642,5,17,10,5,7
1322,2644,4,17,10,5,6
1323,2646,5,21,12,7,20
1324,2648,5,20,12,7,17
1325,2650,4,20,10,6,14
1326,2652,4,19,18,5,12
1327,2654,4,18,15,4,10
1328,2656,4,18,17,6,9
1329,2658,4,17,14,5,7
1330,2660,4,17,15,6,20
1331,2662,4,17,13,6,16
1332,2664,5,27,14,9,21
1333,2666,4,25,12,7,18
1334,2668,4,23,11,8,16
1335,2670,4,22,10,7,13
1336,2672,3,21,9,5,11
1337,2674,3,20,7,6,10
1338,2676,3,20,5,6,8
1339,2678,3,23,5,5,8
1340,2680,3,21,5,5,16
1341,2682,4,24,8,8,17
1342,2684,4,29,6,7,23
1343,2686,4,27,5,7,19
1344,2688,3,25,5,7,23
1345,2690,3,23,5,7,27
1346,2692,3,22,5,7,23
1347,2694,3,21,5,6,21
1348,2696,4,20,5,9,18
1349,2698,4,20,6,9,14
1350,2700,5,21,8,10,24
1351,2702,5,20,6,8,21
1352,2704,4,19,6,9,19
1353,2706,4,18,6,8,15
1354,2708,4,18,6,7,12
1355,2710,4,18,6,7,10
1356,2712,3,17,6,7,8
1357,2714,3,18,6,6,20
1358,2716,3,18,6,6,16
1359,2718,4,27,9,7,17
1360,2720,3,25,8,6,14
1361,2722,3,23,8,6,12
1362,2724,3,22,6,8,10
1363,2726,3,21,6,8,8
1364,2728,3,19,5,8,7
1365,2730,3,19,4,7,7
1366,2732,2,18,4,7,14
1367,2734,2,18,9,7,12
1368,2736,3,19,10,9,26
1369,2738,3,19,10,8,22
1370,2740,3,18,8,8,19
1371,2742,3,18,7,8,21
1372,2744,3,19,7,6,21
1373,2746,3,18,7,5,18
1374,2748,3,18,8,12,16
1375,2750,3,19,7,10,14
1376,2752,3,18,6,9,12
1377,2754,4,19,17,12,14
1378,2756,4,19,17,11,13
1379,2758,4,19,15,9,10
1380,2760,4,19,12,7,8
1381,2762,3,18,14,7,9
1382,2764,3,18,13,7,8
1383,2766,3,18,11,7,8
1384,2768,3,17,10,6,8
1385,2770,3,23,9,9,6
1386,2772,4,23,11,11,10
1387,2774,3,22,9,9,10
1388,2776,3,22,8,9,22
1389,2778,3,22,7,7,18
1390,2780,3,21,6,7,16
1391,2782,3,20,6,7,14
1392,2784,3,20,6,7,13
1393,2786,3,27,5,5,12
1394,2788,3,24,4,4,11
1395,2790,4,25,6,11,15
1396,2792,4,24,6,10,14
1397,2794,3,23,5,10,12
1398,2796,3,22,5,8,10
1399,2798,3,21,6,7,9
1400,2800,3,20,6,6,11
1401,2802,3,20,5,5,11
1402,2804,3,23,5,5,9
1403,2806,3,22,5,4,21
1404,2808,4,23,7,8,21
1405,2810,4,22,6,8,17
1406,2812,4,20,5,7,15
1407,2814,3,20,5,7,13
1408,2816,3,19,5,6,11
1409,2818,3,18,5,6,10
1410,2820,4,18,4,8,10
1411,2822,3,20,5,10,9
1412,2824,4,19,5,9,8
1413,2826,5,29,11,10,10
1414,2828,5,27,10,9,9
1415,2830,4,25,8,9,8
1416,2832,5,23,7,8,8
1417,2834,5,22,7,8,7
1418,2836,4,22,7,21,8
1419,2838,4,21,7,18,7
1420,2840,4,21,6,15,7
1421,2842,3,20,6,13,7
1422,2844,4,25,9,15,9
1423,2846,5,23,9,12,8
1424,2848,5,23,9,11,8
1425,2850,4,21,8,10,7
1426,2852,4,21,6,8,6
1427,2854,4,20,6,8,6
1428,2856,4,22,4,6,6
1429,2858,4,25,5,6,7
1430,2860,4,24,5,5,5
1431,2862,5,25,7,7,8
1432,2864,5,23,7,7,7
1433,2866,5,23,7,7,7
1434,2868,4,21,6,8,8
1435,2870,4,20,6,7,7
1436,2872,4,20,6,7,6
1437,2874,8,20,6,6,6
1438,2876,7,20,5,15,6
1439,2878,6,20,4,23,5
1440,2880,6,21,6,21,8
1441,2882,7,20,6,17,8
1442,2884,6,19,6,14,7
1443,2886,5,18,6,12,6
1444,2888,5,18,4,10,6
1445,2890,5,18,5,9,5
1446,2892,4,18,4,7,5
1447,2894,4,17,5,8,4
1448,2896,4,20,4,8,5
1449,2898,5,20,9,9,8
1450,2900,4,21,7,9,7
1451,2902,4,22,6,9,6
1452,2904,4,21,6,8,8
1453,2906,5,20,7,8,7
1454,2908,4,20,6,8,6
1455,2910,4,19,17,6,6
1456,2912,3,18,15,9,6
1457,2914,3,18,14,8,6
1458,2916,4,20,15,11,10
1459,2918,4,20,14,11,10
1460,2920,3,20,13,9,9
1461,2922,4,19,11,8,8
1462,2924,4,19,10,7,6
1463,2926,4,18,9,12,6
1464,2928,4,18,9,11,6
1465,2930,4,20,8,9,6
1466,2932,4,20,7,8,6
1467,2934,4,22,23,9,9
1468,2936,4,21,19,9,9
1469,2938,4,21,16,8,8
1470,2940,4,20,14,6,6
1471,2942,4,20,12,6,13
1472,2944,4,27,11,6,11
1473,2946,4,25,10,6,11
1474,2948,4,24,8,6,10
1475,2950,3,22,7,6,9
1476,2952,4,23,10,10,11
1477,2954,4,22,9,8,10
1478,2956,4,21,14,8,9
1479,2958,4,20,13,7,7
1480,2960,3,19,12,7,7
1481,2962,3,19,11,7,6
1482,2964,3,19,10,7,6
1483,2966,3,19,8,7,6
1484,2968,3,19,7,6,6
1485,2970,4,24,9,8,8
1486,2972,4,23,8,7,7
1487,2974,4,22,7,6,8
1488,2976,4,23,6,6,7
1489,2978,4,23,6,6,7
1490,2980,3,22,7,6,6
1491,2982,3,21,6,5,6
1492,2984,7,21,6,6,5
1493,2986,6,21,6,6,4
1494,2988,7,30,17,9,10
1495,2990,6,27,15,8,10
1496,2992,5,26,13,8,10
1497,2994,5,25,12,8,14
1498,2996,5,24,21,8,11
1499,2998,4,23,18,7,10
1500,3000,4,22,15,6,21
1501,3002,4,22,14,5,18
1502,3004,4,21,13,4,16
1503,3006,5,22,14,7,17
1504,3008,4,22,12,6,14
1505,3010,4,21,10,5,13
1506,3012,4,20,9,6,12
1507,3014,3,19,8,5,21
1508,3016,3,19,7,4,19
1509,3018,3,19,6,4,17
1510,3020,3,18,6,4,14
1511,3022,3,19,5,3,13
1512,3024,4,21,9,6,15
1513,3026,4,21,15,6,14
1514,3028,4,20,18,5,12
1515,3030,3,20,15,6,11
1516,3032,6,20,15,6,13
1517,3034,5,19,24,5,12
1518,3036,5,19,21,10,12
1519,3038,5,20,20,9,15
1520,3040,5,19,17,8,13
1521,3042,6,21,18,15,15
1522,3044,5,20,14,14,13
1523,3046,4,19,25,12,11
1524,3048,4,19,20,10,11
1525,3050,4,19,16,9,9
1526,3052,4,21,14,9,9
1527,3054,4,20,26,8,7
1528,3056,3,22,29,7,7
1529,3058,3,21,24,6,6
1530,3060,4,26,24,9,8
1531,3062,6,25,20,7,9
1532,3064,5,24,16,7,16
1533,3066,5,23,14,7,15
1534,3068,5,22,12,6,13
1535,3070,4,22,11,5,11
1536,3072,3,22,10,6,11
1537,3074,6,21,13,6,10
1538,3076,6,21,12,6,10
1539,3078,7,22,14,15,12
1540,3080,6,21,14,13,11
1541,3082,5,20,12,11,9
1542,3084,9,20,10,10,8
1543,3086,8,19,10,8,7
1544,3088,7,19,10,8,6
1545,3090,6,19,9,7,5
1546,3092,5,18,8,7,5
1547,3094,5,19,7,11,5
1548,3096,9,21,10,13,8
1549,3098,7,20,9,11,8
1550,3100,6,20,8,10,7
1551,3102,6,19,8,8,6
1552,3104,5,19,7,8,6
1553,3106,4,20,6,8,7
1554,3108,4,19,6,6,7
1555,3110,4,19,5,12,7
1556,3112,4,19,4,11,7
1557,3114,4,21,8,12,9
1558,3116,4,20,7,10,16
1559,3118,4,21,11,9,27
1560,3120,3,21,11,9,23
1561,3122,3,21,10,7,19
1562,3124,5,21,13,7,16
1563,3126,4,21,11,7,14
1564,3128,4,21,10,7,16
1565,3130,4,25,8,8,15
1566,3132,6,25,11,10,15
1567,3134,5,24,10,9,14
1568,3136,5,23,9,9,11
1569,3138,4,23,8,8,10
1570,3140,4,22,7,19,8
1571,3142,4,21,6,17,7
1572,3144,4,20,5,15,7
1573,3146,5,20,6,13,6
1574,3148,4,20,5,12,6
1575,3150,7,21,9,12,21
1576,3152,6,20,8,11,18
1577,3154,5,19,7,10,14
1578,3156,5,19,6,9,12
1579,3158,7,19,4,8,11
1580,3160,6,19,5,7,9
1581,3162,5,19,8,8,9
1582,3164,4,18,7,21,8
1583,3166,4,18,7,17,8
1584,3168,5,20,10,18,11
1585,3170,9,19,9,16,10
1586,3172,8,20,8,15,10
1587,3174,7,19,9,13,9
1588,3176,6,19,7,12,8
1589,3178,6,19,7,11,6
1590,3180,5,24,6,9,6
1591,3182,6,24,5,8,6
1592,3184,7,23,5,8,5
1593,3186,7,24,8,11,8
1594,3188,7,24,10,9,8
1595,3190,6,23,9,9,7
1596,3192,6,22,8,8,7
1597,3194,5,22,9,7,7
1598,3196,4,21,8,6,7
1599,3198,4,20,8,5,6
1600,3200,7,19,7,12,5
1601,3202,7,19,6,25,4
1602,3204,7,20,9,24,7
1603,3206,7,20,8,20,6
1604,3208,6,19,9,17,6
1605,3210,5,19,9,15,6
1606,3212,5,20,7,13,5
1607,3214,5,20,7,11,18
1608,3216,5,20,7,9,16
1609,3218,4,20,7,9,14
1610,3220,5,20,6,9,13
1611,3222,5,21,8,14,14
1612,3224,5,21,7,12,13
1613,3226,4,21,8,10,11
1614,3228,4,21,7,9,12
1615,3230,4,21,7,8,10
1616,3232,4,21,6,7,8
1617,3234,4,21,5,8,8
1618,3236,4,20,5,7,7
1619,3238,4,20,6,6,15
1620,3240,5,22,8,9,15
1621,3242,5,21,7,9,14
1622,3244,4,23,7,8,12
1623,3246,4,22,5,7,11
1624,3248,3,21,5,5,10
1625,3250,3,21,5,6,10
1626,3252,3,20,5,5,9
1627,3254,3,20,5,5,10
1628,3256,3,20,3,5,16
1629,3258,4,22,6,7,16
1630,3260,4,23,6,5,14
1631,3262,4,22,6,9,23
1632,3264,4,21,5,9,19
1633,3266,3,20,4,9,17
1634,3268,3,21,4,9,14
1635,3270,3,21,4,8,13
1636,3272,3,20,5,7,11
1637,3274,4,23,5,6,10
1638,3276,5,24,8,10,11
1639,3278,4,23,7,9,11
1640,3280,4,22,7,8,14
1641,3282,4,22,6,7,13
1642,3284,8,21,6,7,10
1643,3286,7,21,6,6,10
1644,3288,6,20,6,5,9
1645,3290,6,20,6,5,8
1646,3292,5,19,6,5,9
1647,3294,6,20,9,8,10
1648,3296,5,20,9,7,9
1649,3298,5,20,8,7,6
1650,3300,4,20,8,7,6
1651,3302,4,20,9,6,8
1652,3304,4,20,8,5,8
1653,3306,4,20,7,4,8
1654,3308,3,24,8,4,8
1655,3310,3,23,7,3,7
1656,3312,4,24,10,7,10
1657,3314,5,23,8,7,8
1658,3316,5,22,10,6,7
1659,3318,5,22,10,7,7
1660,3320,4,21,8,6,7
1661,3322,4,28,7,6,7
1662,3324,4,29,6,5,6
1663,3326,3,26,18,5,6
1664,3328,3,26,16,5,6
1665,3330,9,27,16,8,12
1666,3332,8,27,13,8,11
1667,3334,9,26,12,20,10
1668,3336,7,25,11,17,9
1669,3338,7,24,11,15,8
1670,3340,8,23,10,13,7
1671,3342,7,23,10,15,7
1672,3344,6,22,8,12,7
1673,3346,6,21,8,11,6
1674,3348,6,22,10,13,10
1675,3350,6,21,9,12,9
1676,3352,5,21,8,11,8
1677,3354,5,21,7,10,7
1678,3356,9,21,5,9,6
1679,3358,8,20,5,7,6
1680,3360,7,20,5,6,5
1681,3362,6,20,4,6,4
1682,3364,7,20,4,5,5
1683,3366,7,22,7,18,9
1684,3368,6,22,7,16,9
1685,3370,6,21,7,14,8
1686,3372,5,20,6,14,8
1687,3374,5,20,6,16,7
1688,3376,4,20,8,12,6
1689,3378,4,20,8,24,6
1690,3380,3,21,7,21,6
1691,3382,3,21,6,18,6
1692,3384,4,22,11,19,8
1693,3386,4,22,10,16,8
1694,3388,4,22,9,13,8
1695,3390,4,21,8,12,7
1696,3392,4,23,13,10,6
1697,3394,4,23,10,9,6
1698,3396,4,22,9,8,6
1699,3398,4,21,8,7,5
1700,3400,4,21,21,6,6
1701,3402,4,23,20,7,9
1702,3404,4,22,17,16,9
1703,3406,4,22,15,14,8
1704,3408,4,22,13,13,7
1705,3410,4,21,11,16,6
1706,3412,5,21,9,14,5
1707,3414,4,22,8,13,5
1708,3416,4,21,8,11,5
1709,3418,4,21,8,10,6
1710,3420,5,23,11,10,9
1711,3422,4,22,9,10,8
1712,3424,4,22,9,8,8
1713,3426,4,22,8,8,8
1714,3428,4,22,10,7,8
1715,3430,8,21,9,7,7
1716,3432,7,21,8,6,7
1717,3434,6,21,6,6,6
1718,3436,5,22,7,6,6
1719,3438,6,23,9,8,9
1720,3440,6,23,9,7,7
1721,3442,5,22,12,7,6
1722,3444,9,21,10,6,6
1723,3446,8,21,9,7,7
1724,3448,7,22,8,6,7
1725,3450,6,23,7,18,7
1726,3452,5,21,6,14,7
1727,3454,6,21,9,22,6
1728,3456,6,23,12,21,9
1729,3458,6,22,9,18,8
1730,3460,5,21,22,15,7
1731,3462,5,21,18,14,6
1732,3464,5,21,16,13,6
1733,3466,4,29,13,11,5
1734,3468,4,26,11,10,4
1735,3470,4,26,10,9,4
1736,3472,4,25,9,15,5
1737,3474,4,33,11,17,8
1738,3476,4,31,10,14,8
1739,3478,4,29,9,13,7
1740,3480,4,27,7,11,6
1741,3482,4,30,6,10,19
1742,3484,4,29,6,9,17
1743,3486,3,28,6,13,14
1744,3488,3,26,5,11,12
1745,3490,3,25,5,23,11
1746,3492,4,26,8,23,13
1747,3494,4,26,6,19,11
1748,3496,4,25,7,16,10
1749,3498,4,24,12,14,8
1750,3500,4,23,10,12,9
1751,3502,4,25,9,9,22
1752,3504,3,24,8,8,18
1753,3506,3,23,7,9,15
1754,3508,8,23,7,8,13
1755,3510,7,24,9,9,14
1756,3512,7,24,9,8,12
1757,3514,6,23,9,7,10
1758,3516,5,23,7,6,8
1759,3518,4,23,6,6,9
1760,3520,5,22,5,11,9
1761,3522,4,22,5,10,8
1762,3524,4,22,4,10,6
1763,3526,4,22,4,9,6
1764,3528,5,24,7,11,12
1765,3530,5,23,20,23,12
1766,3532,4,23,20,21,11
1767,3534,4,22,17,17,11
1768,3536,4,21,15,16,8
1769,3538,4,22,12,13,7
1770,3540,3,23,11,12,7
1771,3542,4,22,11,11,6
1772,3544,3,22,9,10,6
1773,3546,4,23,11,12,9
1774,3548,4,26,11,11,8
1775,3550,4,29,9,10,7
1776,3552,4,28,9,14,7
1777,3554,4,27,7,11,6
1778,3556,4,25,7,11,4
1779,3558,4,25,6,9,4
1780,3560,3,24,5,8,3
1781,3562,3,23,5,7,3
1782,3564,4,24,8,9,6
1783,3566,4,23,8,8,5
1784,3568,4,23,7,8,4
1785,3570,3,23,7,7,4
1786,3572,4,22,7,6,5
1787,3574,3,22,7,10,4
1788,3576,3,22,6,10,4
1789,3578,4,22,4,9,5
1790,3580,8,22,8,12,5
1791,3582,8,31,23,13,7
1792,3584,7,29,21,11,6
1793,3586,6,28,18,10,6
1794,3588,8,27,16,7,6
1795,3590,8,26,14,7,5
1796,3592,7,25,12,17,5
1797,3594,6,24,11,24,4
1798,3596,5,24,11,21,4
1799,3598,5,23,9,18,5
1800,3600,5,24,10,17,7
1801,3602,5,23,9,15,6
1802,3604,9,24,9,13,5
1803,3606,8,23,7,12,5
1804,3608,7,23,6,11,5
1805,3610,6,22,6,10,5
1806,3612,6,22,6,9,5
1807,3614,5,28,14,9,5
1808,3616,4,27,11,8,6
1809,3618,5,27,12,11,8
1810,3620,4,26,11,10,8
1811,3622,4,25,9,12,7
1812,3624,4,23,9,11,7
1813,3626,4,23,9,8,7
1814,3628,3,23,9,9,7
1815,3630,4,22,8,8,6
1816,3632,3,22,7,7,5
1817,3634,3,22,7,5,5
1818,3636,4,23,9,7,7
1819,3638,4,23,10,7,7
1820,3640,4,22,8,6,6
1821,3642,4,21,7,10,19
1822,3644,6,21,12,10,17
1823,3646,7,26,11,10,15
1824,3648,6,25,9,11,20
1825,3650,6,24,8,9,18
1826,3652,5,24,7,9,14
1827,3654,5,25,10,10,15
1828,3656,5,24,10,7,13
1829,3658,5,24,9,6,23
1830,3660,4,27,9,6,20
1831,3662,6,26,9,5,17
1832,3664,6,25,9,5,15
1833,3666,6,24,8,5,13
1834,3668,5,23,8,4,12
1835,3670,5,23,8,6,11
1836,3672,5,24,10,8,13
